region,category,searchTerm,dialect,title,url,video_id,transcript,ilr_quantized,ilr_range,ilr_regressed
EG,Socialize with a professional contact (formally or informally),إزاي تتعامل مع زميلك في الشغل في مصر,Egypt,تعالى أقولك إزاي تعرف الموظف العصفورة وازاي تصطاده ؟ #سوق_العمل #عمل #نصائح #شغل #tips,https://www.youtube.com/watch?v=DYJl_HDGv5o&pp=ygVB2KXYstin2Yog2KrYqti52KfZhdmEINmF2Lkg2LLZhdmK2YTZgyDZgdmKINin2YTYtNi62YQg2YHZiiDZhdi12LE%3D,DYJl_HDGv5o,نصطاد العصفوره دي اول حاجه تجنب تعمل مشاكل معاه وده لانه هيحاول يستفزك كتير خصوصا لو كلامك معاه قدام الناس واعمل حسابك تكون حاطط اعصابك في تلاجه وانت بتتعامل معاه تاني حاجه اوعى تخش بصدام مع مديرك قدامه او قدام غيره لان العصفوره بيتغذى على النوع ده من الصدمات وبيصطاد في الميه العكره فلو عندك اي خلافات بينك وبين مديرك دايما خليها على انفراد ونصيحه بقى اقولها لك بيني وبينك بعد ما تخرج من عند مديرك بلاش تتكلم وتنطور كلام هنا وهناك عشان زي ما قلنا في الاول هيسمع الكلام وهينقله وهيواجب كمان من عنده تالت حاجه لازم تفاجئه على طول بانك تشتغل وبس لان ده هيخليك محل نظمي ودايما هيحاول ياسفن بينك وبين مديرك وانت ما تدريش الفرصه دي لو ما عرفتش بقى تعمل اي حاجه من اللي قلت لك عليها دي ما فيش قدامك غير حل واحد للاسف تلاعبه بنفس سلاحه يعني تشغله عندك لو مدينك من النوع اللي بيسمع استغل العصفوره انه يوصل الكلام اللي انت عايزه وتقدر تعمل حاجه كويسه عشان تكشفه اكتر انك توصل معلومات غلط وهي دي اللي هتكشفها ولو مش عارف تعمل اي حاجه من اللي قلت لك عليها دي من شويه فما قدامكش غير حل واحد طير لان بيئه العمل دي بالنسبه لك به سام وانت مش هتعرف تتاقلم معاه وبس يا سيدي ما تنساش بقى تقول لي في الكومنتات بتعمل ايه في الشغل مع العصفوره واوعى تمنشنله وطبعا ما تنساش والحركه اياها,2.0,"[1.6422645889976017, 2.596225685003997]",2.1192451370007994
EG,Socialize with a professional contact (formally or informally),إزاي تتعامل مع زميلك في الشغل في مصر,Egypt,Waleedov | كيف تتعامل مع زملاء العمل (المستفزين),https://www.youtube.com/watch?v=cpsu40gJytk&pp=ygVB2KXYstin2Yog2KrYqti52KfZhdmEINmF2Lkg2LLZhdmK2YTZgyDZgdmKINin2YTYtNi62YQg2YHZiiDZhdi12LE%3D,cpsu40gJytk,تتفاعل معه ونهايه وكانه ما موجود انت ممكن تكون من يوم مولع نار ولا كانه موجود صدقني المره الاولى حتكون صعبه عليك الثانيه الثالثه هو حيحاول يزيد ويزيد ويزيد لكن في نفس الوقت انت ما يشغل الموضوع كتير او ما عندك فعل وشغال شغلك ماشي في طريقك او هيلغي الفكره لانه انت يا ريس فقدته السلاح الاساسي بتاعه اول حاجه الاساسيه كان بيستخدمها ضدك الا وهي يا فنان يستفزك ده الرد للسؤال بتاع انا قاعد في بيئه مسمومه في الشغل وما بعرف اتصرف كيف عصافير للمدير وفي فلانه وفي اعلان ببساطه ده الحل ما تستجيب وتستخدم قواعد انه انت ما عندك غير رده فعل ولا كانهم موجودين ولا كان شيء حاصل الكنترول عندك انت انه رده فعلك بتخلي الناس تشتغل ضدك ولا,2.0,"[1.2869179781652171, 3.1884700363913048]",2.237694007278261
EG,Socialize with a professional contact (formally or informally),إزاي تتعامل مع زميلك في الشغل في مصر,Egypt,نصائح للتعامل مع غيرة الزملاء في العمل,https://www.youtube.com/watch?v=MVANqN6ec3Y&pp=ygVB2KXYstin2Yog2KrYqti52KfZhdmEINmF2Lkg2LLZhdmK2YTZgyDZgdmKINin2YTYtNi62YQg2YHZiiDZhdi12LE%3D,MVANqN6ec3Y,اليوم اذا عم نحكي عن النصائح للتعامل مع غيره الزملاء في البيئه العمليه اول شيء بدنا نفرق بين موضوعين كثير مهمين الشخص الغيور هو شخص عنده مشاكل مع نفسه وعنده تخبطات وعنده نقص لا هيك هو بفرغ هذا النقص بشعور الغيره اللي بيظهروا اللي بيظهروا لا الناس فاللي بدنا نقوله انه انت ما تاخذ الموضوع بشكل شخصي يعني لما شخص غيور في البيئه العمليه هو شو بيعمل كيف بيعبر عن غيرته بيحاول يقلل من اي انجاز انت بتعمله او بيحاول يهبط من معنوياتك بعد اي انجاز بتحققه هذا الشيء لازم انت تتعلم بانه بدل عن عدم الامان اللي هو حاسس فيه ما بيقلل من انجازك ولا بيقلل من النجاح اللي انت عم بتحققه هلا واحد من النصائح اللي بيحكوا عنها همم الخبراء همم في همم مجالات العمل وايضا في المجالات النفسيه بيقولوا دائما بانه الصمت والكتمان قد يكون من اهم النص راح قال لي همم بيقدموها لاشخاص اللي بيتضايقوا من غير الزملاءهم بمعنى انت لما تحصل على علاوه او تحصل على ترفيعه او تحصل على همم اي نوع من انواع الاستحقاقات العمليه يعني مديرك شكرك على انجاز معين حصلت على همم مشروع جديد راتبك زاد ما في داعي انك تروح تحكي لهذا الشخص الغيور لانك رح تتضايق لانه هو راح يسرق فرحتك او رح يقلل من فرحتك فبالتالي فرق بانه هذا الزميل هو ليس صديق انت بتقول للناس اللي بينبسطوا لك لما يسمعوا عنك خبر حلو فبالتالي الصمت والكتمان هي اول نصيحه بيحكوها عند التعامل مع الزملاء اللي عندهم غيرك ايضا اثنين انك ما تنزعج زي ما قلت بشكل شخص لانه الغيره بتدل على عدم الامان اللي الانسان بيحس فيه الموضوع ما بينتقص منك الموضوع ما بيخصك نهائي ثلاثه همم مشاركه الخبرات بمعنى انه في بعض الاشخاص بيحبوا انهم يشاركوا خبرتهم مع غيرهم بيحب منهم اا يتعلموا من بعض هذا طبعا الانسان السوي والانسان اللي بيفكر بطريقه صحيه والانسان اللي ما عنده عقد وما عنده مشاكل هذا الكلام مع الشخص الغيور في البيئه العمليه ممكن انه يقلب ضدك ممكن انه هو يسرق خلينا نقول المعلومات اللي انت حكيتها او ينسبها لنفسه وهذا هو الموضوع اللي انا كنت بدي احكي فيه بالبدايه بانه في اشخاص بيغاروا كشعور فطري هلا كلياتنا يمكن من غير من غار من النجاح من غار من الانجاز ولكن هذه الغيره عشان انا يعني غيرانه من باب المنافس الشريفه من باب انه انا بدي اعمل زي فلان او انا بدي اتطور زي فلان هون بيكون الموضوع غير مؤذي ولكن ايمتى بتكون الاذيه لما انا اسير بدران فبالتالي انا بدي انزل اللي قدامي وانزله لعندي مش انا بدي اتطور واصير زيه هذول الاشخاص جدا واذا بتقدر انك تبعد عنهم نهائيا يكون افضل اللي بيتصرف بناءا على مشاعر الغيره اللي عنده بيحاول انه يؤذي هون الموضوع يعني بطل بس غيره قلب لا شر وحقد ومشاعر جدا سلبيه واخر نصيحه بدي احكي لكم اياها اذا انت شخص للاسف عم بتواجه مشاعر غير السواق من زميلك في العمل او من صديقك او بحياتك الاجتماعيه او حتى بحياتك العاطفيه تاكدوا من شغله عن تجربه يعني عم بحكي لكم الغيره ما بتاكل الا صاحبها يعني انا بشفى من قلبي على الشخص الغيور لانه مشاعر الغيره بتقتل اي مشاعر ايجابيه بحس فيها الانسان الشخص اللي عنده غيره مفرطه بغار من كل شيء عم بيصير حواليه بغار من كل شخص بشوفه همم انسان ما بيقدر يشوف النعم اللي موجوده بحياته انسان ما بيقدر انه يفرح من قلبه ما بيقدر انه يحب بصدق انسان دائما الشر عنده بيتها على الخير فدول الناس بحزنوا يعني دائما اتذكروا بانه هذا الشخص هو دائما حاسس بعد عدم الامان دائما حاسس انه هو غير كافي واللي بيعمله غير كافي عشان هيك هو هالقد بيغار همم الاشخاص اللي حوالي حتى مرات بيغار من الاشخاص هم اقل منه او اشخاص ما عندهمش زياده عنه بس تركيبته هيك وهذا للاسف على فكره الاشخاص الغيورين كمان بنرجع بنقول لها دخل بالتربيه والتنشئه انا لما باعلم ابني على الشبع بعلم ابني على العين الشبعانه بعلم ابني انه يرضى يكتفي يقول الحمد لله يطلع على النعم بحياته بعلم ابني من وهو صغير انه ما يحكي عن اصحابه ما يحكي عن الناس همم مش كل ما راح مكان يكون خلينا نقول بده ينتقص من اللي حواليه بحب ابني بعطيه مشاعر همم محب صادقه هيك بيطلع انسان سوي وانسان محترم وانسان محب وانسان قادر انه يستمتع بالحياه لانه الشخص الغيور مستحيل انه يقدر يستمتع باي شيء بيعملوا,3.0,"[2.4140929936498985, 3.976511677250169]",3.195302335450034
EG,Socialize with a professional contact (formally or informally),إزاي تتعامل مع زميلك في الشغل في مصر,Egypt,تفسير رؤية زميل العمل في المنام | اسماعيل الجعبيري,https://www.youtube.com/watch?v=uRAw2mX6ltE&pp=ygVB2KXYstin2Yog2KrYqti52KfZhdmEINmF2Lkg2LLZhdmK2YTZgyDZgdmKINin2YTYtNi62YQg2YHZiiDZhdi12LE%3D,uRAw2mX6ltE,[موسيقى] السلام عليكم ورحمه الله وبركاته اهلا بكم احبتي من جديد مازلنا مع قناه تفسير الاحلام اسماعيل الجعديري الحمد لله والصلاه والسلام على رسول الله صلى الله عليه وسلم ومن والولد النهارده هنتكلم عن حلم او رؤيه كثير من الناس بتشوفها تفسير حلم زميل العمل في المنام من الممكن ان انا اشوف زميل عملي في المنام وممكن يكون مثلا في مشاكل ما بيني وما بين زميل العمل ما معنى هذه الرؤى بدايه رؤيه زميل العمل القديم في المنام هذا الرؤيا بشاره على ان صاحب هذه الرؤيه سوف يتعرف على بعض الشخصيات الجيده او ربما تدل هذا الرؤيه على سماع بعض الاخبار الساره او ربما يسمع عن هذا الزميل القديم اخبار مفرحه لهذا الزميل القديم واحيانا هذه الرؤيه تدل على تحقيق بعض الامنيات والوصول الى الاهداف والطموحات ان شاء الله تبارك تبارك وتعالى واحيانا هذا الرؤيه تدل اذا كان الشخص موظفا تدل على النجاح والتفوق في العمل باذن الله تبارك وتعالى وانه شخص مجتهد ونشيط وسوف يصل الى ما يريد باذن الله تبارك وتعالى اما رؤيه ان هناك بعض المشاكل حدثت بينه وبين زميل العمل في الرؤيه هذه الرؤيه تدل على مدى التغييرات للافضل الرؤيه مش مذمومه انت محموده في تغييرات في العمل بالنسبه للرائي سوف يدخل عليها باذن الله تبارك وتعالى لو حصل مثلا مشكله كبيره بينك وبين زميل العمل ربما تدل على المعاناه التي سوف تقابلك في عملك في الفتره القادمه وسوف تتخلص منها ان شاء الله تبارك وتعالى انتظرونا في اللقاءات القادمه والسلام عليكم ورحمه الله وبركاته,2.5,"[2.352032314200766, 2.7466128096653897]",2.549322561933078
EG,Socialize with a professional contact (formally or informally),إزاي تتعامل مع زميلك في الشغل في مصر,Egypt,هل زميل العمل يشكل خطر على المرأة المتزوجة؟,https://www.youtube.com/watch?v=7ug4qZ65ieQ&pp=ygVB2KXYstin2Yog2KrYqti52KfZhdmEINmF2Lkg2LLZhdmK2YTZgyDZgdmKINin2YTYtNi62YQg2YHZiiDZhdi12LE%3D,7ug4qZ65ieQ,انتبهي خطوره زميل العمل على المراه المتزوجه اكثر بكثير من خطورته على المراه اللي ما هي متزوجه هل زميل العمل بشكل خطر على المراه المتزوجه اسمعيني عزيزتي في بعض الاحيان هو خطير ليش اذا كانت المراه بتعاني من الطلاق العاطفي وحرمان الحب والاهتمام فيها وبتعاني من ضغوط حياتيه تشتغل في البيت وخارج البيت طبعا مسؤوليه الاولاد هذه المراه ممكن انها تتعرض للاهتمام والتقدير من زميل العمل اللي سيسرك بشويه اهتمام الغلط اللي بيصير ما بتتحمل المراه فقط وانما كمان الزلمه اللي قاعد في الدار وبترك مراته معصبه وياس انه منه وهي قاطعه الامل فيه و بمشاعره اتجاهها انتبهي خطوره زميل العمل على المراه المتزوجه اكثر بكثير من خطورته على المراه اللي ما هي متزوجه لانه العزابيه بتقول لك انا بحمي حالي هون لاني انا جايه هون اشتغل ولما يجي نصيبي ويجيني الشخص المناسب بتزوج بعطيني الاهتمام والحب براهي مشاعري لكن المراه المتزوجه اللي ما لاقت الحب ولا الاهتمام اللي يحميها من هذا المفترس طبعا الا من رحم ربي من النسوان اللي قدرن يحمن حاله وبعدهن متحملا مع انه ازواجهن 200 المشاعر بس المراه اللي غلطت غلطت بسبب ‏mm,2.0,"[1.310635317538651, 3.148941137435582]",2.2297882274871164
EG,Socialize with a professional contact (formally or informally),إزاي تتعامل مع زميلك في الشغل في مصر,Egypt,لا تستثمر عاطفيا في علاقات العمل | ياسر الحزيمي,https://www.youtube.com/watch?v=6J6ADMx7vO0&pp=ygVB2KXYstin2Yog2KrYqti52KfZhdmEINmF2Lkg2LLZhdmK2YTZgyDZgdmKINin2YTYtNi62YQg2YHZiiDZhdi12LE%3D,6J6ADMx7vO0,تعالى ياكل منتظمه هي كل العلاقه يجمعها زمان ومكان واحد وتكون متكرره زمان ومكان متكرر مثل الدوام زمان ومكان ومتكرر انا في نفس المكان اقابل نفس الاشخاص من ثمانيه الى ثنتين تمام طبيعه هذه العلاقات والشيء انها مثل السمكه اذا خرجت من سياق من من بحرها ماتت بمعنى اذا اخذت اجازه ما حد يسال عني واذا رجعت ما احد يشتاق لي اخبار قضينا خلاص خلاص الساعه 2:00 وخارج اطار المبنى ما في شيء ما في شيء حبيبي ايمان ما في شجر الله يجزاهم خير صراحه جنين يا قلب والله اني احبهم و 24 ساعه انا واياهم مع المدرسين وناكل ونشربوا مبسوطين وفيه احتفال كده يوم جاء يوم التابين يوم الاخير بامشي وسووا طلعت انا لن انساكم ولن كذا ساكون لكم ولا في شايب حسين اطلعي يا ابو حسين لست انا هذا الرجل والله اني كل سنه اقول بمرهم ولا قدرت شوف كملها ب 1420 ما مريت ليس لاني سيء وليس لانهم لا يستحقون هكذا طبيعه العلاقات المنتظمه فهذا اسماء العلاقات المنتظمه لما انت هذه العلاقه المنتظمه لما انت توقف انتظامها يزيد وقتها يتوسع مكانها تتحول طبيعه اخرى جميله شوف القعده مثلا اعدله اجمعهم مناسبات عائليه عند ابو زواج زواجاتهم ثم يتفرقون ما بينهم علاقه قويه,2.5,"[2.304928440190121, 2.825119266349798]",2.56502385326996
EG,Socialize with a professional contact (formally or informally),إزاي تتعامل مع زميلك في الشغل في مصر,Egypt,هزارك البايخ مع زميلك في الشغل دة مش هزار دة تنمر ! ..التنمر في الشغل يحبسك #سوق_العمل #نصائح #تنمر,https://www.youtube.com/watch?v=gJh80KVk2Qw&pp=ygVB2KXYstin2Yog2KrYqti52KfZhdmEINmF2Lkg2LLZhdmK2YTZgyDZgdmKINin2YTYtNi62YQg2YHZiiDZhdi12LE%3D,gJh80KVk2Qw,"هزارك البايخ مع زميلك في الشغل ده مش هزار ده تنمر ودلوقتي ممكن يحبسك اتخضيت اه ما انت لازم تتخض قانون العقوبات دلوقتي بيسمح لاي موظف انه يرفع قضيه على اي حد تنمر عليه في الشغل طالما في شهود على الواقع وخليني اقول لك ايه هي اشكال التنمر المقصوده وازاي يثبته ما تتعداش على مساحه زمايلك الجسديه يعني من الاخر حط ايدك جنبك وما تستخدمهاش في لمسه اي حاجه لان ده اسمه تنمر جسدي تاني حاجه حط لسانك في بقك الهزار نسبي واللي بيحكمها الشخص اللي بتكلمه لو في بينكم ود وعشب وهو قبل الهزار منك القانون مالوش عندك حاجه لكن لو الشخص اللي قدامك مش مرتاح وبين لك ده وانت كملت ده اسمه تنمر لفظي وخد بالك من مربع الخطر الشكل الديني الجنس المستوى الاجتماعي كل ده تحت بند التنمر اللفظي وبعد ما قلت لك ايدك جنبك لسانك في بقك دلوقتي بقول لك خذ بالك من الكيبورد اي تعليق او رساله او ايميل فيهم كلام جارح للي رايح له ده اسمه تنمر ويقدر ياخد به اجراء قانوني ضدك طب العقوبه في الحالات اللي زي دي بتبقى ايه المحكمه ممكن تحكم بست شهور حبس او الغرامه من 10 ل 30,000 جنيه او كلت العقوبتين اما في حاله التنمر الجماعي اللي تم من اكتر من شخص المحكمه ممكن تحكم بحبس مش اقل من سنه او غرامه من 20 ل 100 الف جنيه او كلتا العقوبتين اعتقد بعد كل الكلام ده انت محتاج تاخد بالك",2.0,"[1.9723894737104324, 2.0165663157737406]",1.9944778947420865
EG,Socialize with a professional contact (formally or informally),إزاي تتعامل مع زميلك في الشغل في مصر,Egypt,كيف نتعامل مع الموظف النمام؟,https://www.youtube.com/watch?v=JWE88qvSPHY&pp=ygVB2KXYstin2Yog2KrYqti52KfZhdmEINmF2Lkg2LLZhdmK2YTZgyDZgdmKINin2YTYtNi62YQg2YHZiiDZhdi12LE%3D,JWE88qvSPHY,تشكل النميمه في العمل مصدر ازعاج للمحيط البعض هنادي قد يرق له تسريبات الموظف النمام لكن سيفقد عامل الثقه الوظيفيه كيف نتعامل مع النميمه في العمل نتابع التقرير التالي المشكله والطامه الكبيره لو تعرفوا انه 82% من مدراء خلال دراسه استطلاعيه في شركات بالدول العربيه بفضل الموظف النمام هون هي الكارثه اتصور هذا الموضوع او هذا المرض الاداري الموجود نميمه العمل طبعا مشكله جدا كبيره بنواجهها في كل الشركات البرستيج عالي والبرستيج وسط وحتى البرستيج منخفض في القطاع الحكومي مشترك اي شكل حتى لو كان في عننا شركات اجنبيه بلاحظ بدا فيها يظهر هذا المرض نميمه العمل طبعا الموظف شو السبب انه بيكون في عننا هذا هي الاخلاقيه من اخلاقيات العمل انه هذا الموظف النمام طبعا بيكون ممكن تكون بدافع الغيره ممكن تكون بدافع الحسد لقاء امتيازات معينه ممكن يكون بهدف التسلق واللي هي احد اهم صفات الموظف النمام انه هو بحب يتسلق على السلم الاداري ويطلع يحصل لمنصب معين او امتيازات معينه اجازات معينه كورسات تدريبيه اللي هو اي نوع من انواع الامتيازات طبعا الموظف النمام مشكله حق حقيقيه واذا رعته الاداره العليا صارت مشكله دبل معقده اكثر نحن كموظفين عاديين كيف بواجه هذا الموضوع طبعا لا بد ان نحن ننتبه اول نقطه ممكن نحن نواجه الموظف هذا ونحكي معهه كيف انت بتنقل هذا الكلام وبحيث انه تكون هي المواجهه نوع بحيث انه بتخلق عنده نوع من الخجل بحيث انه ما يعيد هي الاخلاقيه النقطه الثانيه وال هي يقع علينا عبق نحن كموظفين كاملين في قسم معين هلا وهي عدم تشجيع هذا الموظف للاسف اليوم مع فنجان القهوه بنلاحظ انه شو الاخبار اخبار الموظفه الفلانيه اخبار الموظف فلان تطلق فلان تجوز فلان اخذ اجازه فلان نقل مكتب وفلان اشترى سياره فلان والمشكله وين لما نحن بم نقل الاخبار مع ايش مع وضع بهارات او مع وضع زيادات عل وهون بتكون الطامه الكب علينا في عننا كمان مشكله كثير كبيره نحن بالموارد البشريه للاسف لحد الان حسنا نستحدث ولا ماده من الموارد البشريه هي تحد من ال نميمه العمل للاسف نحن نتيجه وجود وقت فارغ للموظف اكثر يعني اليوم من ثمان ساعات موظفنا في بعض الدوائر ما بيشتغل ساعتين او ثلاثه فهو عنده وقت كثير منيح للنميمه فهي المشكله اما اذا كان الموظف وقته كامل انتاجيته عاليه 8 من 8 فما عنده وقت اصلا له ليتبع اخبار الموظفين او حتى ينق,2.5,"[2.390085632626903, 2.683190612288495]",2.536638122457699
EG,Socialize with a professional contact (formally or informally),إزاي تتعامل مع زميلك في الشغل في مصر,Egypt,كيف اتعامل في العمل مع زملائي و مديرى ؟ 🤔,https://www.youtube.com/watch?v=oMsfr0073MA&pp=ygVB2KXYstin2Yog2KrYqti52KfZhdmEINmF2Lkg2LLZhdmK2YTZgyDZgdmKINin2YTYtNi62YQg2YHZiiDZhdi12LE%3D,oMsfr0073MA,"ازيكم يا رب تكونوا بخير فيديو النهارده
عن لما تكون بتشتغل مش كل حاجه تسمعها تروح تقولها مش كل حاجه تسمعها تروح تجري
على مديرك تقولها مش كل حاجه تسمعها تروح لزميلك تقولها مش كل حاجه تسمعها تروح ل
مثلا زميلك المقرب لك في الشغل تقول له انت ماضمنش الزميل ده ممكن يتقلب معاك في
لحظه ممكن يبقى يبقى بدل ما هو زميلك حبيبه وكده يبعدوه م احنا ما بنتو قعشة احمد ولا محسن هو اللي قال ايا كان
اسمك ايه فهي يعني ممكن ايه في ناس كده الموضوع يلف يلف يلف ويلبس فيها فانت ما
تحطش نفسك في مواقف دي روح الشغل بتاعك اشتغل خلص شغلك انت بتاخد مرتب منه زي
الفل اول الشهر امشي روح الشغل اشتغل وامشي اشتغل وامشي الكلام يبقى يعني قليل
قوي هزر واضحك وكل حاجه بس في كلام عادي عارف الكلام العادي ما تدخلش في تفاصيل ما
تدخلش ده رئيس الشركه هيعمل كذا وكذا وكذا وعمل كذا وكذا انا سمعت عن رئيس الشركه ان
هو هيعمل كذا عارف انا سمعت دي سمعت دي هتلف شغل كله استاذ محسن هو اللي قال انت
هتلبس في الحيطه بجد الاشغال يا جماعه عايزه برض ان انت بقدر الامكان تقفل بقك
مش عايزه ان هي تمشي كده قول انا شفت انا عملت انا قلت
رئيس الشركه بيعمل ده زميلي بيعمل ده انا شفت ا مش عارف زميلي في الشؤون القانونيه
فوق شكله كان بيتحقق معاه بقى وتفضل تبحث وراه هو بيتحقق معاه في ايه هو بيعمل ايه
في حياته هو مالكش دعوه بالكلام ده ما تدخلش في اللي مالكش فيه ما تشرش نفسك في
اللي مالكش فيه انت لك شغلك روح اعمل شغلك وامشي ما تفضلش تتكلم تتكلم تتكلم وتوقع
نفسك في مشاكل ما تفضلش ان انت ا تاخد من هنا تحط هنا تاخد من هنا تحط هنا دي هتوقع
في مصايب احنا بنروح شغلنا ده ليه ليه ليه كل
يوم علشان ناخد منه مرتب غير كده ما فيش ما فيش ان انت تقعد تتكلم مع ده وتجيب من
ده تحط على ده وده يقول لك كلمه تروح تقول لده وده يقول لك و عارفه ايه لان انا برده
يا جماعه برده انا صدفت الناس دي اللي هي بتاخد من هنا تحط هنا وبتقع في مصايب ف
فانا بحب انصحكم بالحاجات اللي انا بشوفها في حياتي واللي انا بصادف في
حياتي بس كده ده كان فيديو النهارده يا رب يكون عجبكم وقولوا لي رايكم في التعليقات
في كلامي واعملوا لي اشتراك او متابعه س ما بتشوفوني على اليوتيوب او الفيسبوك
واشوفكم في فيديو جديد على خير ان شاء الله",2.5,"[1.8512255945785334, 3.5812906757024443]",2.716258135140489
EG,Socialize with a professional contact (formally or informally),إزاي تتعامل مع زميلك في الشغل في مصر,Egypt,كيف اتعامل مع زملائى في العمل ؟! و هقولكم حاجة حصلت معايا فالشغل صدمة 😳,https://www.youtube.com/watch?v=wOaMYwFHhdM&pp=ygVB2KXYstin2Yog2KrYqti52KfZhdmEINmF2Lkg2LLZhdmK2YTZgyDZgdmKINin2YTYtNi62YQg2YHZiiDZhdi12LE%3D,wOaMYwFHhdM,ازيكم يا رب تكونوا بخير قبل ما نبدا فيديو النهارده اعملوا لي اشتراك في القناه وفعلوا زر الجرس على الكل عشان يوصلكم كل جديد ونبدا الفيديو لما تكوني في في شغل او لما تكون في شغل ا ما تاخدش من هنا تودي هنا يعني حصل قدامك موقف ما تاخدش من هنا تودي هنا يعني تقول تقول عليه ناس ثانيه والناس الثانيه تقول لناس ثانيه والناس الثانيه تقول ليناس تانيه عشان انا حصل معايا موقف في الشغل مش معايا انا شخصيا مع واحده اعرفها في الشغل شاغله دماغها قوي بالناس تمام فعملت لنفسها مشاكل عملت لنفسها مشاكل من لا مشاكل حصل قدامها حاجات راحت قالتها لناس ثانيه ليه كده ليه ما تعملش كده ما تعملش كده خالص ما تصورش ما تتكلمش ما تقولش اللي يحصل قدامك انت شوف بس ما تتكلمش ما توقع توقعش نفسك في مشاكل ما توقعش نفسك في في حاجات انت في غن عنها الشغل ده ممكن يكون مش شغل خاص لو شغلك خاص ممكن ان انت لو حصل لك مشكله هتسيبه وتشوف غيره لكن لو انت موظف هتعمل ايه لو انت موظف هتعمل ايه دلوقتي هل هتسيبه وتروح تدور على مكان تاني ما ينفعش في الوظيفه وما ينفعش في الحكومه ما ينفعش انت تسيبه وتروح تشوف مك ثاني فانت بتجيب لنفسك القلق والتوتر طيب انت دلوقتي موظف حكومه وحصل معاك واحد اثنين لاثه رحت قلت جبت من هنا حطيت هنا وحصل لك مشكله كبيره هتروح فين هتعمل ايه وانت وراك التزامات يعني خلاص هتاخد بقى اجازه وتقعد في البيت او هتروح بقى تسيب الشغل وتروح تشتغل بره في شغل خاص او فانت اا بتعمل لنفسك مواضيع من لا مواضيع بتعمل لنفسك مشاكل حتى مع الناس اللي هي كانت قريبه منك لما سمعت ان انت عملت المشكله دي بعدت عنك بعدت ده مالوش امان ده ده مش كويس ده ده لا نخاف منه وليهم حق ليهم حق انت بتعمل مشاكل ليه ما تعملش مشاكل في المكان اللي انت موجود فيه سواء شغل سواء لجيران في البيت اللي انت ساكن فيه ا سواء في الشارع سواء مع سوبر ماركت سواء ما تعملش مشاكل مع حد كبر دماغك ورايح دماغك اللي يتقال قدامك وانت تسمع وتشوفه وتعمل شوف واسمع وبس شوف واسمع وبس ما تتكلمش ما تقولش لحد حاجه ما تروحش تقول ده حصل وده وصل وده قال وده عمل يعني زملتي اللي في الشغل دي شافت راحت قالت تمام حد يقول لها حاجه ويحلفه ما تقولش تروح تقول عملت حاجات كتيره كتيره يعني طب ليه طب ما تريحي دماغك ليه بتجيبي لنفسك القلق ليه بتجيبي لنفسك وجع الدماغ فانت الموقف ده لما حصل قدامي قلت اما انصحكم واقول لكم ما تعملوش كده ما تعملوش كده ريحوا دماغكم المكان اللي انتم موجودين فيه ريحوا دماغكم اشتغلوا روح اعمل شغلك وروق روح اعمل شغلك وسافر روح اعمل شغلك واخرج اعمل اي حاجه يعني اشتغل ده مكان شغل ده بتاخد منه فلوس يعني بياكلك عيش فانت ما تفضلش تعمل فيه مشاكل ما تفضلش تعمل فيه حوارات ما حافظ على اكل عيشك زي ما بيقولوا عندنا بالمصري حافظ على اكل عيشك هو صح حافظ على اكل عيشك بطل مشاكل وبطل خناق وبطل ان انت تجيب هنا وتودي هنا ال الكلام ده كله بياثر عليك بياثر على سمعتك بياثر على كل حاجه والناس مش بتديك امان ان تتعامل معاك وبيقل منك فانت ما تحطش نفسك في مواقف بايخه روح شغلك اشتغل وروح بس كده ده كان فيديو النهارده يا رب يكون عجبكم وقولوا لي رايكم في التعليقات حصل موقف قدامكم زي ده ولا لا و واعملو لي اللايك بتاعكم الجميل واشوفكم على خير ان شاء الله في فيديو جديد,3.0,"[2.289498621624812, 3.4263008270251127]",2.8578997243249624
