region,category,searchTerm,dialect,title,url,video_id,transcript,ilr_quantized,ilr_range,ilr_regressed
LB,Socialize with a professional contact (formally or informally),كيف تتواصل مع زميل عمل في لبنان,Levant,Waleedov | كيف تتعامل مع زملاء العمل (المستفزين),https://www.youtube.com/watch?v=cpsu40gJytk&pp=ygU42YPZitmBINiq2KrZiNin2LXZhCDZhdi5INiy2YXZitmEINi52YXZhCDZgdmKINmE2KjZhtin2YY%3D,cpsu40gJytk,تتفاعل معه ونهايه وكانه ما موجود انت ممكن تكون من يوم مولع نار ولا كانه موجود صدقني المره الاولى حتكون صعبه عليك الثانيه الثالثه هو حيحاول يزيد ويزيد ويزيد لكن في نفس الوقت انت ما يشغل الموضوع كتير او ما عندك فعل وشغال شغلك ماشي في طريقك او هيلغي الفكره لانه انت يا ريس فقدته السلاح الاساسي بتاعه اول حاجه الاساسيه كان بيستخدمها ضدك الا وهي يا فنان يستفزك ده الرد للسؤال بتاع انا قاعد في بيئه مسمومه في الشغل وما بعرف اتصرف كيف عصافير للمدير وفي فلانه وفي اعلان ببساطه ده الحل ما تستجيب وتستخدم قواعد انه انت ما عندك غير رده فعل ولا كانهم موجودين ولا كان شيء حاصل الكنترول عندك انت انه رده فعلك بتخلي الناس تشتغل ضدك ولا,2.0,"[1.2869179781652171, 3.1884700363913048]",2.237694007278261
LB,Socialize with a professional contact (formally or informally),كيف تتواصل مع زميل عمل في لبنان,Levant,الشغل فى لبنان من الالف للياء وتكلفة المعيشة من تجربتى ! شوف الفيديو دة قبل ما تدبس,https://www.youtube.com/watch?v=B0NCx6pyIFk&pp=ygU42YPZitmBINiq2KrZiNin2LXZhCDZhdi5INiy2YXZitmEINi52YXZhCDZgdmKINmE2KjZhtin2YY%3D,B0NCx6pyIFk,من ضمن التعليقات انا شغال في لبنان وعاوز اقول لكم على المصروفات اللي ممكن انك تشتغل فيها لو انت حابب تشتغل فيه لبنان اول حاجه لازم تقبض به الدولار تبتعد عن القبض بي العمله المحليه بالنسبه للمصروفات فهو بيقول لك انه اشتراك للايجار وفواتير وكهرباء تقريبا ل 700 دولار شهريا الاكل والشرب تقريبا 500 دولار المواصلات تقريبا 300 دولار على حسب انت ساكن فين يعني تقريبا الف ونص معدل وسطي كشخص مرتاح ولا يجب انك تاخذها في الاعتبار في اقل شيء الايجار بالفواتير اقل شيء 500 دولار الاكل بيختلف من شخص للتاني لكن في الشهر بيكفي تقريبا 300 دولار واوقات اقل لكن بعد زياده الاسعار بقى ممكن يصرف تقريبا 500 دولار فالموضوع متغير وحاول هنا من ضمن النصائح اللي بتقولها لنا تاجر سكن تمضي عقد سنه عشان تمضي تضمن ان الايجار على الاقل ما يزيدش فتمضي الايجار سنه واج ر جنب شغلك علشان توفر المواصلات وهي دي تجربه العمل وفقا للاشخاص اللي هم معلقين على تجربه العمل في لبنان,2.0,"[0.837104099644062, 2.697737540213563]",1.7674208199288124
LB,Socialize with a professional contact (formally or informally),كيف تتواصل مع زميل عمل في لبنان,Levant,فرص عمل في لبنان والخارج.. إليكم التفاصيل,https://www.youtube.com/watch?v=HXXZID65JOc&pp=ygU42YPZitmBINiq2KrZiNin2LXZhCDZhdi5INiy2YXZitmEINi52YXZhCDZgdmKINmE2KjZhtin2YY%3D,HXXZID65JOc,من سوق العمل صباح الخير لكل يلي عم يدوروا على شغل تابعوني لتعرفوا اكثر عن فرص العمل فرصه الاولى بالجيه حيث مطلوب ممرضه للعمل بدار مسنين لكل المهتمات اتصلوا على ثمانيه واحد اثنين تسعه سته ثمانيه اربعه ثلاثه بنروح على الكويت حيث مطلوب ايتي مانجر مع خبره خمس سنين بهذا المنصب لارسال السيفي الايميل انفورجينا ابراهيم دوت كوم اما على طريق المطار مطلوب اتش ار مانجر لمطعم مع خبره بالمطعم تفاصيل اكثر على السبعين سبعه اثنين سبعه خمسه تسعه اثنين فرصه جديده بالجنوب لصبيه للعمل بسوبر ماركت بعمر تحت ال 35 سنه كما انه المنامه مؤمنه للتواصل 8-1924181 وبالحمره مطلوب بيتزا شيف بدوام تسع ساعات وراتب 450 دولار اذا مهتمين بهالفرصه اتصلوا على ثمانيه واحد سبعين سبعه خمسه ثلاثه خمسه ننتقل لفرص عمل جديده بالكونغو حيث مطلوب وموظفين مبيعات كمبيوتر مع لغه فرنسيه قويه لكل الفرص رقم التلفون للتواصل سبعه سته اربعه اربعه صفر سته خمسه اما بالشياح مطلوب معلمه لغه انجليزيه للعمل بسنتر للصفوف الابتدائيه والمتوسطه بدوام من 3 بعد الظهر للسته المساء بتقدروا تتواصلوا على 70 62 صفر تسعه خمسه خمسه بالاخير بدي اذكركم بالايميل الخاص ببرنامجنا اللي هو صباح اليوم قتل جديد بتقدروا تراسلونا اذا عندكم فرصه عمل حابين اذكرها ومن دون مقابل هيدا كان كل شي من سوق العمل اليوم وعوده الكم [موسيقى],1.5,"[1.243621564599021, 1.6538270612405874]",1.4487243129198042
LB,Socialize with a professional contact (formally or informally),كيف تتواصل مع زميل عمل في لبنان,Levant,اهم 14 نصيحة للمسافرين لأول مرة إلى لبنان🇱🇧🇱🇧,https://www.youtube.com/watch?v=78AmjHYXMhM&pp=ygU42YPZitmBINiq2KrZiNin2LXZhCDZhdi5INiy2YXZitmEINi52YXZhCDZgdmKINmE2KjZhtin2YY%3D,78AmjHYXMhM,معلومة مهمة قبل ان نبدأ الفيديو ان لبنان ليس خطرا كما تتوقع الناس يمكنك الأقامة في لبنان ولأستمتاع في شهر سياحي جميل وباقل التكاليف في هذا اليوم سوف اقدم لكم اربعة عشر نصيحة  من المفترض ان تعرفها قبل ان تزور لبنان  الرجاء وضع لايك والاشتراك في القناة قبل ان نبدأ لنبدأ بالنصيحة 14 هل لبنان بلد آمن  لبنان بلد يمتلك اماكن سياحية عديدة و هذه الاماكن السياحية آمنة بنسبة 70% وأما الاماكن العامة آمنة بنسبة 50% لاكن اي شخص يود زيارة لبنان يجب ان يتوخة الحذر  وان يتوقع حدوث اي شيئ في لبنان ومن الأسألة التي يتم طرحها من المتابعين  هل شخص بمفرده يستطيع زيارة لبنان  نعم بالطبع يستطيع الاستمتاع بوقته وقضاء افضل رحلة سياحية  النصيحة 13 أفضل مكان يمكنك ان تقيم فيه هو بيروت لأن بيروت تتمتع بموقع جغرافي رائع من كافة الجهات والنواحي  على سبيل المثال قرب الاماكن السياحية منها النصيحة 12 ان كنت تخطت للقدوم الى لبنان في هدف السياحة  لا تعتمد على اي بطاقة رقمية بل يجب عليك امتلاك الكاش النصيحة 11 لا تستخدم الدولار في مدفوعاتك بل عتمد الليرا اللبنانية النصيحة 10 لا تقوم بتصريف اكثر من 200 دولار  دفعة واحدة النصيحة 9 أفضل طريق لمعرفت سعر صرف الدولار في اي وقت بستخدام احد هذة البرامج النصيحة 8 ما هو أفضل وقت لزيارة لبنان يتمتع لبنان بمناخ معتدل حر في الصيف وبارد في الشتاء  وانا في رايي الشخصي لبنان جميل بكل فصوله  النصيحة 7 ارحص الموصلات هي الحافلات العامة النصيحة 6 قبل شراء اي شيء تاكد من معرفت السعر النصيحة 5 برأيي الشخصي لتسهل عملية الاتصال بالانترنيت عليك شراء شريحة لبنانية النصيحة 4 اجمل الاماكن السياحة خارج مدينة بيروت وانا انصحة بزيارتها حتى وان كانت بعيدا  النصيحة 3 يمكنك التصوير في جميع الاماكن ماعدى الاماكن الامنيه  النصيحة 2 لتتعرف على هذة النصيحة بشكل افضل يمكنك الدخول الى قناتي وتشاهد الفيديوهات النصيحة 1 امتلك فيديوهات عن اغلب المناطق السياحية في لبنان انصحة بمشاهدته جميعها كنتو معكم في هذا الفيديو واتمنى ان تكونو قد استفتم من النصائح  لا تنسو اللايك والاشتراك في القناة وسلام,2.5,"[2.433197719047353, 2.540081368571588]",2.4866395438094706
LB,Socialize with a professional contact (formally or informally),كيف تتواصل مع زميل عمل في لبنان,Levant,فرص عمل في لبنان ودول الخليج تعرفوا عليها,https://www.youtube.com/watch?v=K0bsTwkUXUI&pp=ygU42YPZitmBINiq2KrZiNin2LXZhCDZhdi5INiy2YXZitmEINi52YXZhCDZgdmKINmE2KjZhtin2YY%3D,K0bsTwkUXUI,[موسيقى] من سوق العمل صباح الخير هيدي الفقره فرصه لتلاقوا وظيفه مناسبه لكم الفرصه الاولى لمهندس كهرباء مع خبره بالمجال للعمل بشركه ضمن بيروت مع لغه انجليزيه وفرنسيه وشادي وخبره بالمجال اذا مهتمين بنروح على الكويت حيث مطلوب ممرضات للعمل بشركه طبيه مع خبره سنتين بالتمريض وشهاده جامعيه لارسال السي في الايميل فرصه جديده مع خبره بالمجال خاصه مع ضحايا السوشيال ميديا تفاصيل اكثر على 7-18419 اما بعين الرمانه مطلوب موظف استقبال لبناني عمره فوق ال 25 سنه الدوام من 5:30 بعد الظهر لل 12 نص ليل للتواصل 032364 وبراس بيروت مطلوب صبيه مع لغه انجليزيه قويه للعمل بمركز تعليم لغه انجليزيه للقيام بالامور الاداريه اذا مهتمين بهالفرصه تواصلوا عبر واتساب على 032004142 ننتقل لفرصه عمل جديده بدك وينه حيث مطلوب محاسبه للعمل بمكتب تدقيق رقم التليفون للتواصل 033266 اما بالحازميه مطلوب مساعده اداريه لشركه محاماه تتواصلوا على السبعين اربعه ثمانيه سبعه سبعه ثلاثه واحد بالاخير بدي اذكركم بالايميل الخاص ببرنامجنا اللي هو صباح اليوم اثقل جديد بتقدروا تراسلونا اذا عندكم فرصه عمل حابين اذكرها ومن دون مقابل هيدا كان كل شي من سوق العمل اليوم وعوده الكم [موسيقى],1.5,"[1.115591916104318, 1.7306448503374092]",1.4231183832208636
LB,Socialize with a professional contact (formally or informally),كيف تتواصل مع زميل عمل في لبنان,Levant,مطلوب مدير مكتب في بيروت وموظفي اوتيل في طبرجا.. فرص عمل جديدة ومتنوعة داخل وخارج لبنان,https://www.youtube.com/watch?v=2cNK4Y1lZA4&pp=ygU42YPZitmBINiq2KrZiNin2LXZhCDZhdi5INiy2YXZitmEINi52YXZhCDZgdmKINmE2KjZhtin2YY%3D,2cNK4Y1lZA4,[موسيقى] من سوق العمل صباح الخير بهذه الفقره راح جرب ساعدكم فرصه عمل مناسبه لكم بعد الظهر من الساعه 2:00 الى 8:00 للتواصل 70 043726 نرجع على بيروت حياه مطلوب مدير وكاله اخبار الراتب بالدولار للتواصل عبر واتساب 70501893 انا بعمان مطلوب هاتف مع خبره اكثر من 10 سنين تفاصيل اكثر عبر الواتساب على 0 0 9 6 8 9 2 1 3 1 2 9 6 فرصه جديده بالدوره لفورمن لشركه غاز مع خبره بين ثلاثه وخمسه سنين والسكن قريب من المنطقه اذا مهتمين ابعته السي في على اتش ار ات كارال اويل دوت كوم و بالروشه للعمل واحد سبعه خمسه صفر خمسه صفر واحد انت الا فرص عمل جديده بطبرجا ايضا ضمن اوتيل طالب موظفين بعده اقسام رقم التلفون للتواصل سبعه واحد سته تسعه ثمانيه ثمانيه ثمانيه اما بالكويت مطلوب بيترسم مع خبره بالمجال والعمر تحت ال 24 سنه الايميل ارسال السي في جريس باش اس داش ات هوتميل دوت كوم نرجع على لبنان وبالتحديد على سن الفيل حيث مطلوب سيلز مانجر بالاخير بدي اذكركم بالايميل الخاص ببرنامجنا اللي هو صباح اليوم الجديد دوت تي في تقدر ترسلونا اذا عندكم فرصه عمل حابين اذكره ومن دون مقابل هذا كان كل شيء من سوق العمل اليوم وعوده لكم [موسيقى],1.5,"[1.3978184053572527, 1.5613089567856484]",1.4795636810714503
LB,Socialize with a professional contact (formally or informally),كيف تتواصل مع زميل عمل في لبنان,Levant,وظائف في لبنان,https://www.youtube.com/watch?v=1-QS3VixaDU&pp=ygU42YPZitmBINiq2KrZiNin2LXZhCDZhdi5INiy2YXZitmEINi52YXZhCDZgdmKINmE2KjZhtin2YY%3D,1-QS3VixaDU,هل مللت من البحث عن وظائف شاغره اما زلت تسعى للحصول على وظيفتك الحلم اليك الحل انضم الان وقبل فوات الاوان الى اكبر موقع الكتروني لتجمع الاف الوظائف الشاغره يوميا في دول الخليج العربي والسعوديه وكافه الدول العربيه املا سيرتك الذاتيه كامله ودع اصحاب العمل يتواصلون معك فورا اغتنم الفرصه الان وبادر [موسيقى] بالتسجيل,1.5,"[0.8109816666816236, 1.9134109999910258]",1.3621963333363247
LB,Socialize with a professional contact (formally or informally),كيف تتواصل مع زميل عمل في لبنان,Levant,فرص عمل في لبنان وخارجه ضمن فقرة سوق العمل,https://www.youtube.com/watch?v=W6nsRUKrONc&pp=ygU42YPZitmBINiq2KrZiNin2LXZhCDZhdi5INiy2YXZitmEINi52YXZhCDZgdmKINmE2KjZhtin2YY%3D,W6nsRUKrONc,[موسيقى] من سوق العمل صباح الخير هيدي الفقره فرصه لتلاقوا وظيفه مناسبه لكم الفرصه الاولى بتنشغل من البيت لجرافيك ديزاينر بدوام اربع ساعات باليوم اذا مهتمين بعادو على اتش ار اتغوت وماركت دوت يوكي للعمل بشركه معروفه مع شهاده بلبسنس وخبره بين سنه وسنتين لارسال السيفي الايميل انفو اما بالسبتيه مطلوب اكونت وبالفنار بيتوفر وظيفه بدوام بعض الظهر تفاصيل اكثر على 8-1649940 فرصه جديده بالحمراء حيث مطلوبه موظفين مبيعات للعمل بمحل للتواصل 70 7-19289 فرصه جديده لفرونت اوفيس مانجر مع خبره بالاوتيليت اذا مهتمين بهالفرصه تصله على 039903 ننتقل لفرصه عمل جديده بدوحه عرمون حيث مطلوب اي تي وجرافيك رقم التلفون للتواصل بين الساعه 9:00 الصبح والتنتين الظهر سبعه واحد ثلاثه اربعه سته اما بالاشرفيه مطلوب امين مستودع ليكون مسؤول عن اداره العمليات اليوميه للمستودع مع خبره 3 سنين على الاقل والراتب بالدولار بتقدروا تتواصلوا عبر واتساب على 7916615 بالاخير بدي اذكركم بالايميل الخاص ببرنامجنا اللي هو صباح اليوم الجديد بتقدروا تراسلونا اذا عندكم فرصه عمل حابين اذكرها ومن دون مقابل هيدا كان كل شي من سوق العمل لليوم وعوده لكم,1.5,"[1.2635220046191584, 1.641886797228505]",1.4527044009238317
LB,Socialize with a professional contact (formally or informally),كيف تتواصل مع زميل عمل في لبنان,Levant,فرص عمل في لبنان وخارجه,https://www.youtube.com/watch?v=8qLyb958Tmo&pp=ygU42YPZitmBINiq2KrZiNin2LXZhCDZhdi5INiy2YXZitmEINi52YXZhCDZgdmKINmE2KjZhtin2YY%3D,8qLyb958Tmo,[موسيقى] سوق العمل صباح الخير بهذه الفتره راح جرب ساعدكم تلاقوا فرصه عمل مناسب لكم اول فرصه لفني ميكانيك كهرباء للعمل بمصنع انتاج مواد بلاستيك بانجولا الايميل اتش دوت نت لايف دوت كوم بنرجع على بيروت حياه مطلوب جرافيك ديزاينر وفيديو اديتور الارسال السي في الايميل دوت كوم فرصه جديده بجبال لموظفه استقبال مع لغه انجليزيه لكن المهتمايه تتصلوا على 70 400240 وبترابلس مطلوب صبيه للعمل كوار هاوس اسستنت لاون لاين شو اذا ما اهتميت بها الفرصه اتصلوا على 8-1517324 ننتقل الى فرصه عمل جديده بدك وينه حيث مطلوب ادمن اسستنت رقم التلفون للتواصل صفر ثلاثه ثلاثه صفر اما بخلده مطلوب عده موظفين لاوتيل مع خبره سيبقى قبل اوتيلات تقدر تتواصلوا عبر الواتساب على سبعه تسعه ثلاثه صفر ثلاثه صفر اربعه سبعه بالاخير بدا اذكركم بالايميل الخاص ببرنامجنا اللي هو صباح اليوم الجديد دوت تي في تقدر ترسلونا اذا عندكم فرصه عمل حابين اذكرها ومن دون مقابل هذا كان كل شيء من السوق العمل وعود الى فقرات صباح اليوم [موسيقى],1.5,"[1.0685357571816319, 2.219107071363947]",1.6438214142727894
LB,Socialize with a professional contact (formally or informally),كيف تتواصل مع زميل عمل في لبنان,Levant,فرصة عمل في لبنان,https://www.youtube.com/watch?v=ocaKzmFla3Y&pp=ygU42YPZitmBINiq2KrZiNin2LXZhCDZhdi5INiy2YXZitmEINi52YXZhCDZgdmKINmE2KjZhtin2YY%3D,ocaKzmFla3Y,لا تنسوا الاعجاب بالفيديو والاشتراك في القناه مرحبا بكم اصدقائي طبعا اليوم بفيديو جديد من دوله اللبنان الشقيقه طبعا تحيه لاهالي اللبنان والوطن العربي بشكل اجمع طبعا لا تنسى الاشتراك وتفعيل الجرس تفعيل الجرس مهم لكي يصل لك اشعار الفيديوهات بتاريخ اليوم ان لم يكن بتاريخ اليوم فهو بتاريخ البارحه طبعا ه 7 نوفمبر 2020 نحن بتاريخ اليوم الفيديو 8 نوفمبر 2020 طبعا لكي لا اطيل الوظيفه الاولى هي فرصه عمل موظفه مطلوب موظفه لمركز تجميل نسائي في بيروت شركه تجميل ترغب بتعيين مديره لمركز ببيروت ان تكون حسنه المظهر ملمه بالاعمال الاداريه والتجميل التواصل طبعا معلومات الاتصال في صندوق الوصف اسفل الفيديو في الدسكربشن ننتقل الى الوظيفه الثانيه طبعا مطلوب معلمات رياضيات فيزياء وكيمياء للصفوف المتوسطه طبعا معلومات الاتصال في الدسكربشن لكي لا اعيد واكرر معلومات الاتصال في الدسكربشن في صندوق الوصف ننتقل الى الوظيفه الثالثه كمان ايضا ببيروت برج البراجنه اعتقد هكذا يتم نطق مطلوب عامل عمال خياطه حبق درزه رش لمعمل خياطه في البرج البراجنه معلومات الاتصال في الدسكربشن ايضا لا تنسى الاشتراك وتفعيل الجرس لكي تحصل على فرصه اكبر ان شاء الله طبعا كمان فرصه في بيروت مطلوب مصمم جرافيك على البرامج التاليه ستريتر ادوبي ديزاينر يعني جرافيك قديم برامج قديمه مثلا هكذا يقول الاصدارات ارسال الصور والتفاصيل الواتساب اذا كنت مصمم انا يعني ما اعرف هذا الاختصاص يمكنك التواصل مع وتقديم السي في السياره الذاتيه لكي يتم تحديد موعد انترفيو للمقابله طبعا وان شاء الله التوفيق للجميع الدال على الخير كفاعله شارك الفيديو مع الاخرين لكي يستفيد الجميع وصلنا للنهايه شكرا لحسن المتابعه والسلام عليكم ورحمه الله لا تنسوا الاعجاب بالفيديو والاشتراك في القناه ‏y,2.0,"[1.272589030788918, 2.436446581526649]",1.854517806157784
