word,frequency
في,256377
ا,239491
من,231610
لا,167043
أن,149416
على,146515
ما,117650
هذا,108133
إلى,73536
لقد,70489
هو,64832
هل,64003
أنت,54453
ذلك,52957
كان,51543
هذه,49814
عن,48311
لم,47821
يا,46030
أنا,45421
مع,43373
اللي,40532
لك,38705
انا,37566
ان,36930
هنا,36821
كل,36198
يعني,34412
إذا,34063
هي,31912
او,31881
بعد,31714
الذي,31365
شيء,30968
لي,30794
فقط,30786
الآن,30435
هناك,29934
ماذا,29058
انت,28488
كنت,27254
حتى,27055
لماذا,26880
لو,26755
السيد,26587
كيف,26043
التي,24773
يكون,23666
ليس,23467
يجب,23234
أي,22634
اليوم,22371
يمكن,22276
ولكن,21773
إنه,20969
جد,20669
الأمر,20584
يمكنك,20293
أيض,20062
أنه,19373
كانت,18623
نعم,18558
غير,18346
شخص,18007
لكن,17961
حسن,17890
بعض,17539
له,17449
الوقت,17444
حق,17358
عندما,16999
جيد,16934
تكون,16924
مرة,16545
قبل,16434
أخرى,16307
ده,16228
ولا,16185
ثم,15822
مثل,15746
أنك,15545
بشكل,15415
انه,15262
تم,15004
لن,14972
الناس,14799
جدا,14458
تريد,14393
عليك,14385
ايه,14113
الله,13988
قد,13759
العمل,13670
واحد,13631
عليه,12913
أنني,12508
كذلك,12143
بس,12106
أريد,12088
أليس,11803
مش,11766
أو,11566
عائلة,11359
أستطيع,11199
الى,11129
فيه,11001
اذا,10995
ممكن,10915
دي,10845
لديك,10691
فيها,10480
كما,10456
الشخص,10456
يوم,10313
اي,10226
كده,10190
وقت,10082
شياو,9915
أكثر,9877
سوف,9738
إنها,9736
مثلا,9688
قلت,9684
للغاية,9677
احنا,9556
قال,9555
الرجل,9538
به,9517
لدي,9451
تمام,9424
طبعا,9406
يبدو,9319
تعرف,9235
بالفعل,9078
طيب,8976
بين,8972
جميع,8924
أعتقد,8822
أيها,8713
أوه,8524
المال,8448
نحن,8288
موسيقى,8249
أولا,8211
أعرف,8141
يو,8015
منذ,7964
تعال,7963
حاجه,7962
عشان,7935
المنزل,7855
الكثير,7839
بك,7834
كثير,7823
لازم,7783
مجرد,7726
معك,7694
يكن,7689
لها,7674
صحيح,7629
تفعل,7606
فضلك,7516
وهو,7510
لما,7490
يمكنني,7476
بالنسبة,7440
سيد,7396
انك,7307
خلال,7167
معي,7142
أين,7132
آه,7118
ربما,7034
الرئيس,6991
زي,6965
للتو,6891
شو,6886
كبير,6860
مكان,6843
بها,6817
تشين,6814
لذلك,6811
المرة,6807
منك,6805
آخر,6775
مجموعة,6711
بي,6636
شين,6508
نفس,6470
و,6441
جيانغ,6437
عليها,6435
يتم,6433
أخي,6398
مرحب,6355
شكر,6246
يزال,6185
العالم,6107
بسرعة,6094
بالتأكيد,6087
راح,6058
لست,6041
الشيء,6027
دعنا,5997
حدث,5938
ألا,5900
أحد,5842
اذهب,5838
المدير,5776
تلك,5751
بقى,5733
اول,5720
تقول,5711
منه,5704
علي,5685
عند,5670
الجميع,5648
رجل,5615
لان,5577
مني,5531
واحدة,5490
معه,5481
مو,5465
رئيس,5422
تعتقد,5376
آسف,5370
جيدة,5360
السيدة,5345
يبقى,5304
عام,5277
ها,5271
لديه,5269
عندي,5258
بما,5225
وفي,5218
الذين,5213
حقا,5210
لين,5176
ليست,5162
اه,5139
عنه,5120
انظر,5119
الواقع,5106
نفسك,5095
الأخ,5066
بهذه,5043
ولم,5041
يقول,5012
دائم,4924
كم,4913
حد,4884
يوجد,4881
وانغ,4862
الخاص,4851
شكرا,4832
والله,4827
أنها,4800
نفسه,4797
هم,4796
الفور,4783
وما,4773
يحدث,4772
دعني,4768
شيئ,4745
أبد,4651
الخاصة,4642
وكان,4615
تكن,4614
سيكون,4607
الليلة,4587
دائما,4584
عندك,4570
شي,4565
بخير,4503
أم,4495
لذا,4493
سيدي,4481
تجرؤ,4478
أمر,4433
عمل,4388
أفضل,4387
عم,4354
التواصل,4352
انتظر,4348
وو,4339
وهذا,4323
تشو,4320
تقلق,4316
بسبب,4314
يعرف,4306
إذن,4288
المكان,4282
تزال,4276
طويلة,4231
الأشخاص,4223
كبيرة,4216
سمعت,4208
وهي,4200
الأشياء,4182
دون,4175
أمي,4149
لدينا,4133
توقف,4132
حيث,4131
أجل,4109
بالطبع,4082
الرغم,4067
هيا,4041
اكثر,4026
مدير,3977
أبي,3960
بعيد,3941
يلا,3930
سو,3914
الثاني,3910
ايضا,3907
طريق,3897
تشي,3895
ومن,3885
أفعل,3874
الطريق,3852
يريد,3845
الطريقة,3805
أكون,3805
الموضوع,3795
المدرسة,3791
إن,3789
لنا,3788
لفترة,3783
سنوات,3773
الفيديو,3763
عبر,3757
أشعر,3742
يوان,3740
مره,3739
لكم,3735
المستقبل,3728
قليلا,3708
نوع,3704
ترى,3702
الزواج,3661
لانه,3651
تتحدث,3628
فجأة,3609
بأس,3604
نذهب,3597
مهلا,3584
تحت,3582
منها,3575
دعونا,3562
الشركة,3551
ايش,3537
الشاب,3535
الحصول,3533
أرى,3529
الصغير,3528
شركة,3528
تذهب,3499
إلا,3485
مشكلة,3483
بهذا,3478
شاء,3471
تعلم,3469
أختي,3437
الحياة,3434
يمكننا,3427
بذلك,3408
فهو,3392
كمان,3386
بل,3375
قوي,3369
أقول,3368
وين,3362
قمت,3361
عندنا,3357
عدم,3353
جديد,3335
المزيد,3331
مرحبا,3328
حال,3327
كذا,3326
يتعلق,3325
ليو,3324
سعيد,3318
أعلم,3313
القيام,3311
عنده,3308
تشانغ,3306
عدد,3302
ينبغي,3293
الموت,3273
مهم,3264
ألم,3260
أذهب,3243
طالما,3231
العام,3218
